state,no_of_flights,long,lat,lat_denver,long_denver
AK,3773,-149.9961856,61.17432028,39.85840806,-104.6670019
AL,4296,-86.76332958,34.10169528,39.85840806,-104.6670019
AR,3823,-93.265528335,35.505632775,39.85840806,-104.6670019
AZ,161096,-111.4745417,32.775125,39.85840806,-104.6670019
CA,579232,-119.61848083125,35.5481336275,39.85840806,-104.6670019
CO,136313,-106.81206012222222,38.86206228444444,39.85840806,-104.6670019
CT,4080,-72.68322833,41.93887417,39.85840806,-104.6670019
FL,78202,-81.11874361285714,27.426225515714286,39.85840806,-104.6670019
GA,85067,-84.42694444,33.64044444,39.85840806,-104.6670019
HI,4425,-157.434363625,20.98302243,39.85840806,-104.6670019
IA,38920,-93.91864046,41.94070824,39.85840806,-104.6670019
ID,33236,-113.8441353,43.1180273625,39.85840806,-104.6670019
IL,187641,-88.99098889,41.614742222000004,39.85840806,-104.6670019
IN,30585,-85.74476528,40.3478975,39.85840806,-104.6670019
KS,30642,-97.43304583,37.64995889,39.85840806,-104.6670019
KY,25393,-85.19908625,38.610265835,39.85840806,-104.6670019
LA,24904,-90.70383111000001,30.26327486,39.85840806,-104.6670019
MA,43541,-71.00517917,42.3643475,39.85840806,-104.6670019
MD,32346,-76.66819833,39.17540167,39.85840806,-104.6670019
MI,55291,-84.6333714575,43.3418095125,39.85840806,-104.6670019
MN,101013,-93.2169225,44.88054694,39.85840806,-104.6670019
MO,141363,-92.82025111333333,38.42987277666667,39.85840806,-104.6670019
MT,49126,-111.98462698571429,46.693698492857145,39.85840806,-104.6670019
NC,25062,-79.865299025,35.545825,39.85840806,-104.6670019
ND,19150,-99.61401499666667,47.31761259333334,39.85840806,-104.6670019
NE,67159,-98.74968731999999,41.342506203333336,39.85840806,-104.6670019
NJ,65225,-74.16866056,40.69249722,39.85840806,-104.6670019
NM,66304,-107.4195694,35.89073611,39.85840806,-104.6670019
NV,129026,-117.46019899999999,37.78946861,39.85840806,-104.6670019
NY,64570,-75.57181278,42.044900888,39.85840806,-104.6670019
OH,53680,-82.6007800025,40.556891805,39.85840806,-104.6670019
OK,74172,-96.74448778,35.795730275,39.85840806,-104.6670019
OR,76014,-122.459911675,44.085069305000005,39.85840806,-104.6670019
PA,75056,-77.73700583,40.181709305,39.85840806,-104.6670019
SD,30422,-99.89953554,43.81333625,39.85840806,-104.6670019
TN,35563,-86.88256824,35.65979352,39.85840806,-104.6670019
TX,340187,-98.83988480428572,31.325158254285714,39.85840806,-104.6670019
UT,120553,-112.20297105,39.976124167500004,39.85840806,-104.6670019
VA,66878,-77.24676597000001,38.898307634999995,39.85840806,-104.6670019
WA,117754,-119.6540616,47.111172593333336,39.85840806,-104.6670019
WI,15157,-88.45456231333333,43.52405111,39.85840806,-104.6670019
WV,1,-81.59318972,38.37315083,39.85840806,-104.6670019
WY,23664,-107.33105425714285,42.77810885142857,39.85840806,-104.6670019
