"","Raumeinheit","Aggregat","Type","Baugenehmigungen.fÃ.r.Wohnungen_2015","Baugenehmigungen.fÃ.r.Wohnungen.in.Ein..und.ZweifamilienhÃ.usern_2015","Baugenehmigungen.fÃ.r.Wohnungen.in.MehrfamilienhÃ.usern_2015","Fertiggestellte.Wohnungen.im.Bestand_2015","Neue.Ein..und.ZweifamilienhÃ.user_2015","Neubau.Wohnungen.je.Einwohner_2015","Neubau.Wohnungen.in.Ein..und.ZweifamilienhÃ.usern_2015","Neubau.Wohnungen.in.MehrfamilienhÃ.usern_2015","Type_1","Bruttoinlandsprodukt.je.Einwohner_2015","Bruttoinlandsprodukt.je.ErwerbstÃ.tigen_2015","Entwicklung.Bruttoinlandsprodukt_2011.2015","Type_2","Einwohner.unter.3.Jahren_2015","Einwohner.von.3.bis.unter.6.Jahren_2015","Einwohner.von.6.bis.unter.18.Jahren_2015","Einwohner.von.18.bis.unter.25.Jahren_2015","Einwohner.von.25.bis.unter.30.Jahren_2015","Einwohner.von.30.bis.unter.50.Jahren_2015","Einwohner.von.50.bis.unter.65.Jahren_2015","Einwohner.von.65.bis.unter.75.Jahren_2015","Einwohner.von.75.bis.unter.85.Jahren_2015","Einwohner.85.Jahre.und.Ã.lter_2015","Entwicklung.Einwohner.unter.3.Jahre_2011.2015","Entwicklung.Einwohner.3.bis.unter.6.Jahre_2011.2015","Entwicklung.Einwohner.von.6.bis.unter.18.Jahren_2011.2015","Entwicklung.Einwohner.von.18.bis.unter.25.Jahren_2011.2015","Entwicklung.Einwohner.von.25.bis.unter.30.Jahren_2011.2015","Entwicklung.Einwohner.von.30.bis.unter.50.Jahren_2011.2015","Entwicklung.Einwohner.von.50.bis.unter.65.Jahren_2011.2015","Entwicklung.Einwohner.von.65.bis.unter.75.Jahre_2011.2015","Entwicklung.Einwohner.von.75.bis.unter.85.Jahre_2011.2015","Entwicklung.Einwohner.85.Jahre.und.Ã.lter_2011.2015","Durchschnittsalter.der.BevÃ.lkerung_2015","Durchschnittsalter.der.weiblichen.BevÃ.lkerung_2015","Durchschnittsalter.der.mÃ.nnlichen.BevÃ.lkerung_2015","Type_3","Siedlungsdichte_2015","Type_4","Nahversorgung.SupermÃ.rkte.Durchschnittsdistanz_2015","Nahversorgung.HausÃ.rzte..inkl..KinderÃ.rzte..Durchschnittsdistanz_2015","Nahversorgung.Apotheken..Durchschnittsdistanz_2015","Nahversorgung.Schulen.der.Sekundarstufe.1..Durchschnittsdistanz_2015","Type_5","Arbeitslosenquote_2015","VerÃ.nderung.Arbeitslosenquote_2011.2015","Arbeitslosenquote.Frauen_2015","Arbeitslosenquote.MÃ.nner_2015","VerÃ.nderung.Arbeitslosenquote.Frauen_2011.2015","VerÃ.nderung.Arbeitslosenquote.MÃ.nner_2011.2015","Arbeitslosenquote.JÃ.ngere_2015","Arbeitslosenquote.Ã.ltere_2015","Type_6","BeschÃ.ftigtenquote_2015","BeschÃ.ftigte.PrimÃ.rer.Sektor_2015","BeschÃ.ftigte.SekundÃ.rer.Sektor_2015","BeschÃ.ftigte.TertiÃ.rer.Sektor_2015","Industriequote_2015","Dienstleistungsquote_2015","ErwerbstÃ.tige.PrimÃ.rer.Sektor_2015","Entwicklung.ErwerbstÃ.tige.PrimÃ.rer.Sektor_2011.2015","ErwerbstÃ.tige.SekundÃ.rer.Sektor_2015","Entwicklung.ErwerbstÃ.tige.SekundÃ.rer.Sektor_2011.2015","ErwerbstÃ.tige.TertiÃ.rer.Sektor_2015","Entwicklung.ErwerbstÃ.tige.TertiÃ.rer.Sektor_2011.2015","Type_7","Haushaltseinkommen_2015","Entwicklung.Haushaltseinkommen_2011.2015","Type_8","Erreichbarkeit.von.Autobahnen_2015","Erreichbarkeit.von.FlughÃ.fen_2015","Erreichbarkeit.von.IC.EC.ICE.BahnhÃ.fen_2015","Nahversorgung.Haltestellen.des.Ã.V..Durchschnittsdistanz_2015","Nahversorgung.Haltestellen.des.Ã.V.Anteil.der.Bev..1km.Radius_2015","Pkw.Dichte_2015","Entwicklung.PKW_2015","Type_9","Bildungsrelevante.BevÃ.lkerung_2015","SchÃ.ler_2015","Gymnasiasten_2015","SchulabgÃ.nger.mit.Hauptschulabschluss_2015","SchulabgÃ.nger.mit.Hochschulreife_2015","SchulabgÃ.nger.ohne.Abschluss_2015","Studierende_2015","Auszubildende.je.100.Einwohner.15.25.Jahre_2015","Studierende.je.100.Einwohner.18.bis.25.Jahre_2015","Type_10","Kleinstbetriebe_2014","Kleinbetriebe_2014","Mittlere.Unternehmen_2014","Großunternehmen_2014","Type_11","Gewerbesteuer_2015","Entwicklung.Gewerbesteuer_2011.2015","Type_12","Nahversorgung.SupermÃ.rkte.Durchschnittsdistanz_2015_1","Nahversorgung.HausÃ.rzte..inkl..KinderÃ.rzte..Durchschnittsdistanz_2015_1","Nahversorgung.Apotheken..Durchschnittsdistanz_2015_1","Nahversorgung.Schulen.der.Sekundarstufe.1..Durchschnittsdistanz_2015_1","Type_13","Betten.in.FV.Betrieben_2015","Entwicklung.Betten.in.FV.Betrieben_2011.2015","Ãœbernachtungen.in.FV.Betrieben_2015","Entwicklung.Ãœbernachtungen.in.FV.Betrieben_2011.2015","AuslÃ.ndische.GÃ.ste.in.FV.Betrieben_2015","Durchschnittliche.Verweildauer.in.FV.Betrieben_2015","Type_14","Bevoelkerungsentwicklung..zensusbasiert._2011.2015","Eheschliessungen_2015","Entwicklung.Eheschliessungen_2011.2015","Ehescheidungen_2015","Entwicklung.Ehescheidungen_2011.2015","Frauenanteil_2015","Geschlechterproportion.insgesamt_2015","Auslaenderanteil_2015","Veraenderung..Auslaenderanteil_2011.2015","Auslaenderinnen_2015","Veraenderung.Auslaenderinnen_2011.2015","Einbuergerungen.je..Auslaender_2015","Einbuergerungen.je..Einwohner_2015","lat","lon","ID"
"1","Flensburg, Stadt","Stadt","Construction",4,32.5,67.5,7.5,87.6,4,1.2,2.8,"GDP",42.2,61.3,14.1,"Residents",2.6,2.6,9.7,11.8,8.7,24.6,19.4,10,8,2.5,5.9,12.4,-0.8,11.8,16,-4.2,7.3,-8.7,25.4,-2.6,42.5,43.8,41.1,"Population_Density",2883,"Stores",516,420,562,680,"Unemployment_Rate",10,-1.9,8.7,11.1,-2,-1.9,9,9,"Employment_Rate",49.7,0.04,14.6,85.4,10.3,60.2,0.07,-31,13.1,7.6,86.9,5.2,"Traffic",1550,7,"Traffic",6,98,0,196,96,476,5,"Education",12.1,13.5,31.6,13.5,44.2,8.5,107.5,12.4,91,"Companies",845.4,119,30.1,5.45,"Business_Tax",466.3,13.8,"Stores",516,420,562,680,"Tourism",18.8,27.2,3.3,39.9,38.4,1.8,"Demography",3.8,8,7.7,1.9,-27.6,50.2,1.01,9.7,3.4,43.7,-6,14.1,1.4,54.7833021,9.4333264,"1"
"2","Kiel, Stadt","Stadt","Construction",1.1,39.1,60.9,3.7,92.8,1.8,0.8,0.9,"GDP",44.6,65.1,16.5,"Residents",2.7,2.4,9.4,11.1,10.3,27.2,18.5,9.2,6.9,2.3,7.8,3.1,3.2,0.4,11.6,-1.5,9.2,-7.2,24.6,1.5,41.4,42.5,40.3,"Population_Density",3831.2,"Stores",499,361,438,856,"Unemployment_Rate",9.9,-1.2,8.7,11,-1.2,-1.2,7.1,10.8,"Employment_Rate",48.6,0.05,15.6,84.4,10.7,57.9,0.06,-5.4,12.1,4.7,87.9,5.6,"Traffic",1589,13,"Traffic",3,63,0,198,95,422,8,"Education",11.4,9.7,32.6,15,44.9,6.5,135.6,13.4,122.2,"Companies",853.9,111.8,27.9,6.37,"Business_Tax",539.5,21.9,"Stores",499,361,438,856,"Tourism",17,2.3,2.7,19.7,23.7,2,"Demography",3.6,4.8,-4.4,2.6,-18.8,51.3,1.06,9.8,2.6,48,-3.2,27.1,2.7,54.3216753,10.1371858,"2"
"3","Lübeck, Stadt","Stadt","Construction",3.1,27.2,72.8,0.9,86.7,0.4,0.2,0.2,"GDP",35.9,62.6,14.8,"Residents",2.6,2.4,10.1,8.3,7.1,25.8,20.6,11,9,3.1,8.7,1.3,1.2,0.7,11.5,-3.5,9.4,-8.6,20.5,4,44.5,46.1,42.8,"Population_Density",2738.1,"Stores",650,536,715,1077,"Unemployment_Rate",9.9,-1.1,9,10.7,-1.1,-1.1,8.2,9.7,"Employment_Rate",52.6,0.13,23.4,76.5,15.1,49.5,0.22,-13.4,18.1,4,81.7,-1.6,"Traffic",1606,10,"Traffic",4,10,0,209,97,431,8,"Education",12.1,9.7,27.5,19.7,34,9.6,42.8,15.4,51.7,"Companies",868.7,101.4,25.2,4.76,"Business_Tax",337.8,-9.8,"Stores",650,536,715,1077,"Tourism",43.2,15.3,7.4,27.2,20,2.4,"Demography",2.6,5.8,5.6,3.1,-14.3,52.1,1.09,8.5,2.1,49.1,-2,19.6,1.7,53.866444,10.684738,"3"
"4","Neumünster, Stadt","Stadt","Construction",1.8,34.2,65.8,2.8,90.9,1.4,0.7,0.7,"GDP",38,61.7,13.8,"Residents",2.5,2.5,11.7,8.3,6.6,25,21.1,10.8,8.8,2.8,3.2,-0.4,3.3,-3.5,18.2,-4,8,-9.8,26.2,7.7,44,45.6,42.4,"Population_Density",2197.5,"Stores",611,650,667,939,"Unemployment_Rate",10.2,-1,9.4,10.9,-1.5,-0.6,9.9,10.1,"Employment_Rate",52.9,0.98,22.4,76.6,15.5,53,0.93,2,18.7,0.9,80.4,2,"Traffic",1527,11,"Traffic",8,48,0,191,96,496,7,"Education",14.1,14,32.2,14.7,43.7,6.9,0,15.4,0,"Companies",843.9,123.4,27.8,4.92,"Business_Tax",442.9,9.6,"Stores",611,650,667,939,"Tourism",12.1,21.2,2,38.3,19.8,2,"Demography",2.6,5.4,1.4,3.5,-9,50.6,1.02,9.4,3.3,43.3,-3.9,15.8,1.5,54.0715956,9.9865296,"4"
"5","Dithmarschen","Landkreis","Construction",3.1,54.4,45.6,4.6,93.3,2.2,1.6,0.6,"GDP",30.5,69.3,18.8,"Residents",2.3,2.4,11.6,7.9,5,23.8,23,11.9,9.4,2.8,-1,-1.8,-10.1,4.1,9.3,-9.5,8.6,-7.8,22.2,6.7,45.4,46.5,44.3,"Population_Density",843.2,"Stores",1790,1576,2475,2746,"Unemployment_Rate",7.3,-1.1,7.1,7.5,-1.3,-0.9,8,6.9,"Employment_Rate",52.8,3.53,27.5,68.9,12.7,31.7,5.9,-10.6,22,1.5,72.1,3.8,"Traffic",1744,9,"Traffic",16,77,20,402,95,565,6,"Education",14.1,10.6,30.6,18.2,25.8,9.8,11.9,19,15.1,"Companies",897,86.8,14.4,1.69,"Business_Tax",508.9,54.8,"Stores",1790,1576,2475,2746,"Tourism",85.4,-6.4,10.8,12.4,2.9,5,"Demography",-0.4,6.3,-6.3,2.5,-22.3,50.7,1.03,4.3,1.8,45.6,-5.6,6.2,0.3,54.1331231,9.0799113,"5"
"6","Herzogtum Lauenburg","Landkreis","Construction",4.9,59.5,40.5,8.7,94.9,3.8,2.5,1.2,"GDP",21.2,60.1,11.3,"Residents",2.6,2.6,12,6.9,5,26.1,22.7,10.6,8.7,2.7,15.4,2.1,-3.2,1.1,13.1,-5.7,13.8,-8.6,26.8,11,44.5,45.7,43.3,"Population_Density",1331,"Stores",1588,1542,2036,2673,"Unemployment_Rate",5.8,-0.4,5.7,5.9,-0.5,-0.3,6.5,6.7,"Employment_Rate",56.7,1.68,27.3,71.1,9.9,25.7,3.19,-9.7,22.1,1.7,74.7,2.1,"Traffic",1886,9,"Traffic",13,34,21,301,94,559,8,"Education",14.1,10.3,25.4,18.3,31,8.5,0,17.3,0,"Companies",899.8,84.6,13.8,1.78,"Business_Tax",249.7,5.8,"Stores",1588,1542,2036,2673,"Tourism",23.5,4.6,3.3,9.9,5.1,3.1,"Demography",3,5.5,1.4,2.9,4.7,50.9,1.04,6.2,2,47.4,-4.7,12.6,0.8,53.59366475,10.6643262416921,"6"
"7","Nordfriesland","Landkreis","Construction",7.5,61.1,38.9,13.5,87,6.9,4,2.9,"GDP",34.1,62.8,15.8,"Residents",2.3,2.3,11.6,8,5.5,24.2,22.8,11.8,9,2.7,6.8,-6.2,-9.9,2.5,16.2,-8.8,10.3,-7.4,24.4,10.7,45.1,46.4,43.7,"Population_Density",745.2,"Stores",1674,194,2631,326,"Unemployment_Rate",6,-1.6,5.7,6.2,-1.7,-1.4,4.7,7.9,"Employment_Rate",55.6,2.31,17.8,79.9,9.5,42.9,4.38,-13.2,17.7,0.5,77.9,3.7,"Traffic",1956,11,"Traffic",43,126,23,522,87,579,6,"Education",14.1,10.8,26.9,20.7,22.2,7.1,0,18.6,0,"Companies",913.1,75.6,10,1.2,"Business_Tax",603.6,7.1,"Stores",1674,194,2631,326,"Tourism",313.7,-7.8,43.3,2.7,2.9,5.7,"Demography",0.6,16,-1.7,2.6,-18,51,1.04,5.7,2.5,46.1,-6.6,6.5,0.4,54.6591848,8.99814992674713,"7"
"8","Ostholstein","Landkreis","Construction",5.6,46.5,53.5,9,84.3,4.7,1.9,2.8,"GDP",24.2,54.2,17.9,"Residents",2,2.2,10.5,6.6,4.4,23.7,23.7,13.3,10.3,3.2,-0.4,3.7,-6.8,1.4,11.1,-9.1,8.9,-7.5,28.2,7.4,47.4,48.6,46.1,"Population_Density",1223.1,"Stores",1477,1344,1719,2516,"Unemployment_Rate",6.1,-0.9,5.7,6.6,-1.1,-0.6,5.7,7.5,"Employment_Rate",55.8,1.74,19.9,78.4,9.2,36.5,3.04,-8.4,16.1,5.7,80.9,5.4,"Traffic",1833,10,"Traffic",9,42,15,388,92,582,8,"Education",12.6,9.9,26.2,19.9,27.9,10.3,0,17.6,0,"Companies",913.5,72.3,12.7,1.48,"Business_Tax",323.6,16.2,"Stores",1477,1344,1719,2516,"Tourism",231.7,-3.4,31.1,14.1,5.5,4.8,"Demography",0.8,10.1,18.3,2.1,-20.9,51.7,1.07,4.4,1.6,46.9,-4,10.3,0.5,54.13813795,10.7361582304082,"8"
"9","Pinneberg","Landkreis","Construction",5,54.8,45.2,8.7,90.2,3.9,2.1,1.9,"GDP",26.9,66.1,7,"Residents",2.6,2.6,11.5,7.2,5.2,26.7,22,10.9,8.7,2.5,9.2,1.1,-2.4,5.5,13.8,-4.5,12.1,-8.5,28.5,13.8,44.4,45.5,43.1,"Population_Density",2148.2,"Stores",833,846,1059,1434,"Unemployment_Rate",5.2,-0.5,4.9,5.4,-0.6,-0.4,4.8,6.2,"Employment_Rate",60.1,2.45,30.4,67.1,13.1,28.9,2.71,-7.5,25.4,0.6,71.9,3,"Traffic",1998,10,"Traffic",11,35,27,344,93,537,7,"Education",13.7,11.2,31.3,14.8,39.1,6,9.8,16.9,13.6,"Companies",902.9,79.5,16.2,1.41,"Business_Tax",537.6,26.6,"Stores",833,846,1059,1434,"Tourism",14.3,2.9,1.9,3.8,7.8,2.2,"Demography",3.4,7.8,14.9,2.5,-23.4,51.1,1.04,8.4,2,48.4,-3.5,22.5,1.9,53.7255404,9.76703193441896,"9"
"10","Plön","Landkreis","Construction",3.4,59.2,40.8,7.5,92.8,3.5,2.2,1.3,"GDP",18.7,55.9,0.4,"Residents",2.3,2.4,11.6,6.6,4.3,24.1,23.4,12.8,9.7,2.8,7.9,-1.9,-6.9,0.3,17.3,-9.9,9.5,-7.3,31.1,9.6,46.3,47.4,45.1,"Population_Density",1254.3,"Stores",1492,155,2239,3177,"Unemployment_Rate",5.5,-0.6,5.2,5.8,-0.8,-0.4,5.3,7.3,"Employment_Rate",54.5,2.89,23.8,73.3,7.6,23.5,4.3,-10,18.3,-0.6,77.4,0.9,"Traffic",1826,10,"Traffic",20,62,25,412,91,578,6,"Education",13.9,9.4,25.8,22.7,24.9,9.1,0,16.4,0,"Companies",910,80.5,8.8,0.71,"Business_Tax",444.2,82.8,"Stores",1492,155,2239,3177,"Tourism",75.6,2.2,7.9,9.6,3.1,4.3,"Demography",0.9,7.5,13.9,2.2,-13.7,51.4,1.06,3.7,1.5,45.7,-9.2,7.8,0.3,54.24611515,10.4132743272727,"10"
