latitude,longitude,cluster,count,name,addr.street
48.2245948,11.6686808,1,5,Korbinian Apotheke,Korbinianstraße
48.2252155,11.6711978,1,5,Apotheke Dr. Aurnhammer,Bahnhofstraße
48.2265436,11.6711835,1,5,Falken Apotheke,Münchener Straße
48.1548502,11.5668069,2,27,Adelheid-apotheke,Augustenstraße
48.1380825,11.5612128,3,61,City-apotheke,Schillerstraße
48.1399858,11.5623796,3,61,Europa-apotheke,Schützenstraße
48.1487302,11.4602226,4,10,Bahnhofapotheke,Pasinger Bahnhofsplatz
48.1610736,11.5689431,2,27,Spitzweg Apotheke,Hohenzollernstraße
48.1614749,11.5678545,2,27,St.-kilian-apotheke,Hohenzollernplatz
48.1146482,11.5709276,9,9,Schyrenapotheke,NA
48.1373568,11.5762875,3,61,Rathaus-apotheke,Marienplatz
48.1313319,11.5763334,3,61,Apotheke Am Gärtnerplatz,Corneliusstraße
48.1336021,11.5764395,3,61,Rumford Apotheke,Reichenbachstraße
48.1267604,11.5913744,3,61,Apotheke Im Franziskanerhof,Franziskanerstraße
48.1287183,11.592958,3,61,Hall'sche Apotheke,NA
48.1358367,11.5977142,3,61,Klosterapotheke,Max-Planck-Straße
48.1289741,11.603715,3,61,Ostbahnhof Apotheke,Orleansplatz
48.128516,11.5993523,3,61,Weißenburger Apotheke,Weißenburger Straße
48.1295037,11.602067,3,61,Johannis Apotheke,NA
48.1339035,11.5445475,6,7,Kugelapotheke,Theresienhöhe
48.1319428,11.5983983,3,61,Preysing-apotheke,Wörthstraße
48.1442767,11.4609754,4,10,Linden-apotheke,Bäckerstraße
48.1461437,11.4593421,4,10,Sankt-jakobs-apotheke,Planegger Straße
48.1483854,11.4613038,4,10,Gesundbrunnen-apotheke,Pasinger Bahnhofsplatz
48.1626072,11.5745584,2,27,Max-emanuel-apotheke,Belgradstraße
48.1335039,11.5828647,3,61,Zweibrücken-apotheke,Zweibrückenstraße
48.1346016,11.575592200000001,3,61,Löwenapotheke,NA
48.1342073,11.584922,3,61,Drogerie Im Lehel,NA
48.10948,11.5758386,9,9,Flora Apotheke,NA
48.1193463,11.5834179,9,9,Salvator Apotheke,Sankt-Bonifatius-Straße
48.1345818,11.5788694,3,61,Bio-apotheke,Frauenstraße
48.1339916,11.5834122,3,61,Isartor Apotheke,NA
48.1364717,11.5738671,3,61,Rosenapotheke,Rosenstraße
48.1342182,11.5665189,3,61,Regenbogenapotheke,Sonnenstraße
48.1337028,11.5653075,3,61,Marien Apotheke,Sendlinger-Tor-Platz
48.1282531,11.5701658,3,61,Isar-apotheke,Klenzestraße
48.1284466,11.5752151,3,61,Fraunhofer Apotheke,Fraunhoferstraße
48.1291359,11.558105,5,5,Apotheke Am Goetheplatz,Waltherstraße
48.1402067,11.6015969,3,61,Troger Apotheke,Prinzregentenstraße
48.1577743,11.5751376,2,27,Kurfürsten Apotheke,Franz-Joseph-Straße
48.1374999,11.5348087,6,7,St. Rupertus-apotheke,Trappentreustraße
48.1495873,11.5492446,7,11,Lori-apotheke,NA
48.1503872,11.5453365,7,11,Nordstern Apotheke,NA
48.1510261,11.5393013,7,11,Alpha Apotheke,Nymphenburger Straße
48.1450768,11.5600474,3,61,St. Blasius Apotheke,Augustenstraße
48.1447752,11.5603095,3,61,St. Antonius Apotheke,Augustenstraße
